Metsävarakuvioiden ja erityisen tärkeiden elinympäristökuvioiden koodisto- taulukko solusta A2 soluun G4464;;;;;;;
Koodisto;Kenttä;Koodi;Selite_FI;Selite_SE;Selite_ENG;Selite_LATINA;
1_577;featurecode;9531;Mäkäränsammal;Mäkäränsammal;;;
1_577;featurecode;9532;Norokinnassammal;Norokinnassammal;;;
1_577;featurecode;9533;Nuppusiipisammal;Nuppusiipisammal;;;
1_577;featurecode;9534;Pahtasuikerosammal;Pahtasuikerosammal;;;
1_577;featurecode;9535;Palsakynsisammal;Palsakynsisammal;;;
1_577;featurecode;9536;Peikonsammal;Peikonsammal;;;
1_577;featurecode;9537;Pikkuliuskasammal;Pikkuliuskasammal; ;Riccardia palmata;
1_577;featurecode;9538;Pikkupahtasammal;Pikkupahtasammal;;;
1_577;featurecode;9539;Pikkuritvasammal;Pikkuritvasammal;;;
1_577;featurecode;9540;Pikkusahasammal;Pikkusahasammal; ;Bazzania tricrenata;
1_577;featurecode;9541;Pikkusiimasammal;Pikkusiimasammal;;;
1_577;featurecode;9542;Pikkusiipisammal;Pikkusiipisammal;;;
1_577;featurecode;9543;Pohjanharasammal;Pohjanharasammal;;;
1_577;featurecode;9544;Pohjanhuurresammal;Pohjanhuurresammal; ;Palustriella decipiens;
1_577;featurecode;9545;Pohjanisolehväsammal;Pohjanisolehväsammal;;;
1_577;featurecode;9546;Pohjanlehväsammal;Pohjanlehväsammal;;;
1_577;featurecode;9547;Pohjanpalmikkosammal;Pohjanpalmikkosammal;;;
1_577;featurecode;9548;Polkukämmensammal;Polkukämmensammal; ;Tritomaria exsectiformis;
1_577;featurecode;9549;Pärskekinnassammal;Pärskekinnassammal;;;
1_577;featurecode;9550;Rantanukkasammal;Rantanukkasammal; ;Dicranella humilis;
1_577;featurecode;9551;Ruskopalmikkosammal;Ruskopalmikkosammal;;;
1_577;featurecode;9552;Silopahtasammal;Silopahtasammal;;;
1_577;featurecode;9553;Sirppihuurresammal;Sirppihuurresammal; ;Palustriella falcata;
1_577;featurecode;9554;Sirppitumpurasammal;Sirppitumpurasammal;;;
1_577;featurecode;9555;Sopulinsuikerosammal;Sopulinsuikerosammal; ;Sciuro-hypnum latifolium;
1_577;featurecode;9556;Suvantonäkinsammal;Suvantonäkinsammal; ;Fontinalis dichelymoides;
1_577;featurecode;9557;Tulvalovisammal;Tulvalovisammal;;;
1_577;featurecode;9558;Tupsutuppisammal;Tupsutuppisammal;;;
1_577;featurecode;9559;Valjuhiirensammal;Valjuhiirensammal;;;
1_577;featurecode;9560;Vellamonsammal;Vellamonsammal; ;Fissidens fontanus;
1_577;featurecode;9561;Vuorikivisammal;Vuorikivisammal;;;
1_577;featurecode;9562;Väinänhiirensammal;Väinänhiirensammal;;;
1_577;featurecode;9600;Ahopiennarsieni;Ahopiennarsieni;;;
1_577;featurecode;9601;Aihkirypykkä;Aihkirypykkä;;;
1_577;featurecode;9602;Anishaprakas;Anishaprakas;;;
1_577;featurecode;9603;Hammaskurokka;Hammaskurokka;;;
1_577;featurecode;9604;Harmaasatulamörsky;Harmaasatulamörsky;;;
1_577;featurecode;9605;Havuliimaharsukka;Havuliimaharsukka;;;
1_577;featurecode;9606;Huopasäämikkä;Huopasäämikkä;;;
1_577;featurecode;9607;Istukkakääpä;Istukkakääpä;;;
1_577;featurecode;9608;Jalavanlehtipaise;Jalavanlehtipaise;;;
1_577;featurecode;9609;Jauhoruostejuurekas;Jauhoruostejuurekas;;;
1_577;featurecode;9610;Juustovalmuska;Juustovalmuska;;;
1_577;featurecode;9611;Kaakaotympönen;Kaakaotympönen;;;
1_577;featurecode;9612;Kalkkihimmihiippo;Kalkkihimmihiippo;;;
1_577;featurecode;9613;Kalvasharsukka;Kalvasharsukka;;;
1_577;featurecode;9614;Kalvaskaulussieni;Kalvaskaulussieni;;;
1_577;featurecode;9615;Kangastuhkelo;Kangastuhkelo;;;
1_577;featurecode;9616;Karjahapero;Karjahapero;;;
1_577;featurecode;9617;Karstakääpä;Karstakääpä; ;Gelatoporia subvermispora;
1_577;featurecode;9618;Kartanorisakas;Kartanorisakas;;;
1_577;featurecode;9619;Karvasvahakas;Karvasvahakas;;;
1_577;featurecode;9620;Karvasvalmuska;Karvasvalmuska;;;
1_577;featurecode;9621;Keltahaprakääpä;Keltahaprakääpä;;;
1_577;featurecode;9622;Keltakaunolakki;Keltakaunolakki;;;
1_577;featurecode;9623;Keltamaltomaljakas;Keltamaltomaljakas;;;
1_577;featurecode;9624;Kesilämäkkä;Kesilämäkkä;;;
1_577;featurecode;9625;Kielinahakka;Kielinahakka;;;
1_577;featurecode;9626;Kilpinyhäkkä;Kilpinyhäkkä; ;Hyphoderma mutatum     ;
1_577;featurecode;9627;Korpiludekääpä;Korpiludekääpä; ;Skeletocutis odora;
1_577;featurecode;9628;Kultakurokka;Kultakurokka;;;
1_577;featurecode;9629;Kuusiukonsieni;Kuusiukonsieni;;;
1_577;featurecode;9630;Kystikkä;Kystikkä;;;
1_577;featurecode;9631;Kyyhkyvahakas;Kyyhkyvahakas;;;
1_577;featurecode;9632;Lamokääpä;Lamokääpä; ;Skeletocutis chrysella;
1_577;featurecode;9633;Lapinkynsikääpä;Lapinkynsikääpä; ;Trichaptum laricinum;
1_577;featurecode;9634;Lehtohaarakas;Lehtohaarakas;;;
1_577;featurecode;9635;Lehtoruostevinokas;Lehtoruostevinokas;;;
1_577;featurecode;9636;Lettorikonruoste;Lettorikonruoste;;;
1_577;featurecode;9637;Liekokääpä;Liekokääpä; ;Gloeophyllum protractum;
1_577;featurecode;9638;Lohikääpä;Lohikääpä; ;Erastia salmonicolor;
1_577;featurecode;9639;Lumivalmuska;Lumivalmuska;;;
1_577;featurecode;9640;Mantelirisakas;Mantelirisakas;;;
1_577;featurecode;9641;Mattaorvakka;Mattaorvakka;;;
1_577;featurecode;9642;Metsäsammalnupikka;Metsäsammalnupikka;;;
1_577;featurecode;9643;Mäntyraspikka;Mäntyraspikka; ;Odonticium romellii;
1_577;featurecode;9644;Notkolahokka;Notkolahokka;;;
1_577;featurecode;9645;Nuhruvahvero;Nuhruvahvero;;;
1_577;featurecode;9646;Nummituhkelo;Nummituhkelo;;;
1_577;featurecode;9647;Nurmituhkelo;Nurmituhkelo;;;
1_577;featurecode;9648;Okrarypykkä;Okrarypykkä;;;
1_577;featurecode;9649;Oliivinastakka;Oliivinastakka;;;
1_577;featurecode;9650;Oranssihiippo;Oranssihiippo;;;
1_577;featurecode;9651;Pajuhelokka;Pajuhelokka;;;
1_577;featurecode;9652;Pajuruostevinokas;Pajuruostevinokas;;;
1_577;featurecode;9653;Paksunahakka;Paksunahakka;;;
1_577;featurecode;9654;Pettukääpä;Pettukääpä; ;Antrodia ramentacea;
1_577;featurecode;9655;Piimähuovakka;Piimähuovakka;;;
1_577;featurecode;9656;Pohjanhämäkkä;Pohjanhämäkkä;;;
1_577;featurecode;9657;Pohjannahikas;Pohjannahikas;;;
1_577;featurecode;9658;Pohjannupikka;Pohjannupikka;;;
1_577;featurecode;9659;Pohjanpokaalimörsky;Pohjanpokaalimörsky;;;
1_577;featurecode;9660;Pohjansäämikkä;Pohjansäämikkä;;;
1_577;featurecode;9661;Pohjanvahakas;Pohjanvahakas;;;
1_577;featurecode;9662;Posliiniseitikki;Posliiniseitikki;;;
1_577;featurecode;9663;Punakerikääpä;Punakerikääpä;;;
1_577;featurecode;9664;Rahkamaljakas;Rahkamaljakas;;;
1_577;featurecode;9665;Risarengasryhäkäs;Risarengasryhäkäs;;;
1_577;featurecode;9666;Rosohapero;Rosohapero;;;
1_577;featurecode;9667;Ruostekääpä;Ruostekääpä;;;
1_577;featurecode;9668;Ruskohapero;Ruskohapero;;;
1_577;featurecode;9669;Rusohiippo;Rusohiippo;;;
1_577;featurecode;9670;Rusokantokääpä;Rusokantokääpä; ;Fomitopsis rosea;
1_577;featurecode;9671;Salohapero;Salohapero;;;
1_577;featurecode;9672;Salokuurakka;Salokuurakka;;;
1_577;featurecode;9673;Salokääpä;Salokääpä; ;Dichomitus squalens;
1_577;featurecode;9674;Silkkivyökääpä;Silkkivyökääpä;;;
1_577;featurecode;9675;Sinappityllikkä;Sinappityllikkä;;;
1_577;featurecode;9676;Suomenhaarakas;Suomenhaarakas; ;Ramaria fennica;
1_577;featurecode;9677;Syrjäntympönen;Syrjäntympönen;;;
1_577;featurecode;9678;Taigarypykkä;Taigarypykkä;;;
1_577;featurecode;9679;Talikääpä;Talikääpä; ;Physisporinus rivulosus;
1_577;featurecode;9680;Talvihampikka;Talvihampikka;;;
1_577;featurecode;9681;Tievakieli;Tievakieli;;;
1_577;featurecode;9682;Tulvarisakas;Tulvarisakas;;;
1_577;featurecode;9683;Tummatorvisieni;Tummatorvisieni;;;
1_577;featurecode;9684;Tuomenhärmä;Tuomenhärmä;;;
1_577;featurecode;9685;Turkkihuovakka;Turkkihuovakka;;;
1_577;featurecode;9686;Tytönsieni;Tytönsieni;;;
1_577;featurecode;9687;Tähtivuotikka;Tähtivuotikka;;;
1_577;featurecode;9688;Valkosahaheltta;Valkosahaheltta;;;
1_577;featurecode;9689;Valkotuppisieni;Valkotuppisieni;;;
1_577;featurecode;9690;Varjoparakka;Varjoparakka;;;
1_577;featurecode;9691;Velttosarannoki;Velttosarannoki;;;
1_577;featurecode;9692;Verkkotyllikkä;Verkkotyllikkä;;;
1_577;featurecode;9693;Viherrypykkä;Viherrypykkä;;;
1_577;featurecode;9694;Viinikäprikkä;Viinikäprikkä;;;
1_577;featurecode;9695;Viiruruostevinokas;Viiruruostevinokas;;;
1_577;featurecode;9696;Villaherkkusieni;Villaherkkusieni;;;
1_577;featurecode;9800;Aarnihelokka;Aarnihelokka;;;
1_577;featurecode;9801;Aarnineulakka;Aarnineulakka;;;
1_577;featurecode;9802;Aarnirypykkä;Aarnirypykkä;;;
1_577;featurecode;9803;Aivotryffeli;Aivotryffeli;;;
1_577;featurecode;9804;Anisnuppiseitikki;Anisnuppiseitikki;;;
1_577;featurecode;9805;Etelänruostekääpä;Etelänruostekääpä; ;Phellinus ferruginosus;
1_577;featurecode;9806;Haavanarinakääpä;Haavanarinakääpä;;;
1_577;featurecode;9807;Haisumantumukula;Haisumantumukula;;;
1_577;featurecode;9808;Hakamaatuhkelo;Hakamaatuhkelo;;;
1_577;featurecode;9809;Hammashytykkä;Hammashytykkä;;;
1_577;featurecode;9810;Hammasrisakas;Hammasrisakas;;;
1_577;featurecode;9811;Harmorypykkä;Harmorypykkä;;;
1_577;featurecode;9812;Harsukääpä;Harsukääpä;;;
1_577;featurecode;9813;Helavahakas;Helavahakas;;;
1_577;featurecode;9814;Helavalmuska;Helavalmuska;;;
1_577;featurecode;9815;Hentohaprakääpä;Hentohaprakääpä;;;
1_577;featurecode;9816;Hitunyhäkkä;Hitunyhäkkä;;;
1_577;featurecode;9817;Hostinsarannoki;Hostinsarannoki;;;
1_577;featurecode;9818;Huopakääpä;Huopakääpä; ;Onnia tomentosa;
1_577;featurecode;9819;Hyasinttivahakas;Hyasinttivahakas;;;
1_577;featurecode;9820;Hytymaljakas;Hytymaljakas;;;
1_577;featurecode;9821;Häränkieli;Häränkieli; ;Fistulina hepatica;
1_577;featurecode;9822;Isokarvakääpä;Isokarvakääpä; ;Inonotus dryophilus;
1_577;featurecode;9823;Isomyyränlakki;Isomyyränlakki;;;
1_577;featurecode;9824;Isorusokas;Isorusokas;;;
1_577;featurecode;9825;Jättikuukunen;Jättikuukunen;;;
1_577;featurecode;9826;Kaihikka;Kaihikka; ;Ramaricium alboochraceum ;
1_577;featurecode;9827;Kalvasnahikas;Kalvasnahikas;;;
1_577;featurecode;9828;Kalvassarannoki;Kalvassarannoki;;;
1_577;featurecode;9829;Kalvokesikkä;Kalvokesikkä;;;
1_577;featurecode;9830;Kartanokääpä;Kartanokääpä;;;
1_577;featurecode;9831;Karvalahorusokas;Karvalahorusokas;;;
1_577;featurecode;9832;Karvasahaheltta;Karvasahaheltta;;;
1_577;featurecode;9833;Katvetuppisieni;Katvetuppisieni;;;
1_577;featurecode;9834;Keisarimalikka;Keisarimalikka;;;
1_577;featurecode;9835;Kekovahakas;Kekovahakas;;;
1_577;featurecode;9836;Kekovalmuska;Kekovalmuska;;;
1_577;featurecode;9837;Kellosinilatvanruoste;Kellosinilatvanruoste;;;
1_577;featurecode;9838;Keltaloisikka;Keltaloisikka;;;
1_577;featurecode;9839;Keltamaitomaljakas;Keltamaitomaljakas;;;
1_577;featurecode;9840;Keltatuhkelo;Keltatuhkelo;;;
1_577;featurecode;9841;Kermarypykkä;Kermarypykkä; ;Phlebia diffissa;
1_577;featurecode;9842;Kermavalmuska;Kermavalmuska;;;
1_577;featurecode;9843;Kesäkorvasieni;Kesäkorvasieni;;;
1_577;featurecode;9844;Kevätjuurekas;Kevätjuurekas;;;
1_577;featurecode;9845;Kimppumalikka;Kimppumalikka;;;
1_577;featurecode;9846;Kirsumaahikas;Kirsumaahikas;;;
1_577;featurecode;9847;Kituhaprakääpä;Kituhaprakääpä;;;
1_577;featurecode;9848;Koivunkynsikääpä;Koivunkynsikääpä; ;Trichaptum pargamenum;
1_577;featurecode;9849;Koppelokääpä;Koppelokääpä;;;
1_577;featurecode;9850;Korkkikerroskääpä;Korkkikerroskääpä; ;Perenniporia subacida;
1_577;featurecode;9851;Kulhomörsky;Kulhomörsky;;;
1_577;featurecode;9852;Kultasuomuvahakas;Kultasuomuvahakas;;;
1_577;featurecode;9853;Kuorikamarainen;Kuorikamarainen;;;
1_577;featurecode;9854;Kuultorypykkä;Kuultorypykkä;;;
1_577;featurecode;9855;Kuusenneulasmaljakas;Kuusenneulasmaljakas;;;
1_577;featurecode;9856;Kuusentuoksuvalmuska;Kuusentuoksuvalmuska;;;
1_577;featurecode;9857;Känsäorvakka;Känsäorvakka; ;Cystostereum murraii;
1_577;featurecode;9858;Käpäläkääpä;Käpäläkääpä; ;Anomoporia bombycina;
1_577;featurecode;9859;Kätköorvakka;Kätköorvakka;;;
1_577;featurecode;9860;Kääpiörisakas;Kääpiörisakas;;;
1_577;featurecode;9861;Lahohäiväkkä;Lahohäiväkkä;;;
1_577;featurecode;9862;Lahonnukka;Lahonnukka; ;Physodontia lundellii;
1_577;featurecode;9863;Lahoparvikas;Lahoparvikas;;;
1_577;featurecode;9864;Lakkakääpä;Lakkakääpä;;;
1_577;featurecode;9865;Lakkikarakääpä;Lakkikarakääpä;;;
1_577;featurecode;9866;Lattakorvasieni;Lattakorvasieni;;;
1_577;featurecode;9867;Lautasmalikka;Lautasmalikka;;;
1_577;featurecode;9868;Lehto-otaraspikka;Lehto-otaraspikka;;;
1_577;featurecode;9869;Lehtomaahikas;Lehtomaahikas;;;
1_577;featurecode;9870;Lehtonahikas;Lehtonahikas;;;
1_577;featurecode;9871;Lehtosäierisakas;Lehtosäierisakas;;;
1_577;featurecode;9872;Lepikkohiippo;Lepikkohiippo;;;
1_577;featurecode;9873;Lepikkorisakas;Lepikkorisakas;;;
1_577;featurecode;9874;Lepänoksahärmä;Lepänoksahärmä;;;
1_577;featurecode;9875;Liekohaarakas;Liekohaarakas;;;
1_577;featurecode;9876;Liekokertokanta;Liekokertokanta;;;
1_577;featurecode;9877;Liilavalmuska;Liilavalmuska;;;
1_577;featurecode;9878;Limarengasvahakas;Limarengasvahakas;;;
1_577;featurecode;9879;Louhennahka;Louhennahka; ;Laurilia sulcata;
1_577;featurecode;9880;Luminyhäkkä;Luminyhäkkä;;;
1_577;featurecode;9881;Lutikkakääpä;Lutikkakääpä; ;Skeletocutis jelicii;
1_577;featurecode;9882;Lutikkarousku;Lutikkarousku;;;
1_577;featurecode;9883;Lännenhapero;Lännenhapero;;;
1_577;featurecode;9884;Maitokesikkä;Maitokesikkä;;;
1_577;featurecode;9885;Maitomalikka;Maitomalikka;;;
1_577;featurecode;9886;Maitosäämikkä;Maitosäämikkä; ;Scytinostroma galactinum;
1_577;featurecode;9887;Maljatipakka;Maljatipakka;;;
1_577;featurecode;9888;Mantelivahakas;Mantelivahakas;;;
1_577;featurecode;9889;Mustamaahikas;Mustamaahikas;;;
1_577;featurecode;9890;Mustapahkajuurekas;Mustapahkajuurekas;;;
1_577;featurecode;9891;Mustasatulamörsky;Mustasatulamörsky;;;
1_577;featurecode;9892;Mäyränkääpä;Mäyränkääpä; ;Boletopsis leucomelaena;
1_577;featurecode;9893;Napapahkajalka;Napapahkajalka;;;
1_577;featurecode;9894;Narsissikärpässieni;Narsissikärpässieni;;;
1_577;featurecode;9895;Naskalihytykkä;Naskalihytykkä;;;
1_577;featurecode;9896;Naskalirypykkä;Naskalirypykkä;;;
1_577;featurecode;9897;Nevamesisieni;Nevamesisieni;;;
1_577;featurecode;9898;Nokivahakas;Nokivahakas;;;
1_577;featurecode;9899;Norjantuhkelo;Norjantuhkelo;;;
1_577;featurecode;9900;Karvakieli;Hårig jordtunga;;;
1_577;featurecode;9901;Ketokieli;Svart jordtunga;;;
1_577;featurecode;9902;Korpinrusokas;Korpnopping;;;
1_577;featurecode;9903;Sinikääpiörusokas;Sinikääpiörusokas;;;
1_577;featurecode;9904;Sysikieli;Purpurbrun jordtunga;;;
1_577;featurecode;9905;Valkotuoksumalikka;Valkotuoksumalikka;;;
1_577;featurecode;9906;Nuhrurusokas;Nuhrurusokas;;;
1_577;featurecode;9907;Nummiorakas;Nummiorakas;;;
1_577;featurecode;9908;Nuokkuhelmikännoki;Nuokkuhelmikännoki;;;
1_577;featurecode;9909;Orarypykkä;Orarypykkä;;;
1_577;featurecode;9910;Palloitiömalikka;Palloitiömalikka;;;
1_577;featurecode;9911;Peikonnahka;Peikonnahka; ;Crustoderma dryinum;
1_577;featurecode;9912;Piikkituhkelo;Piikkituhkelo;;;
1_577;featurecode;9913;Pikkukarakka;Pikkukarakka;;;
1_577;featurecode;9914;Pikkukennokääpä;Pikkukennokääpä;;;
1_577;featurecode;9915;Pikkusilokka;Pikkusilokka;;;
1_577;featurecode;9916;Pistenyhäkkä;Pistenyhäkkä; ;Peniophorella guttulifera ;
1_577;featurecode;9917;Pohjannyhäkkä;Pohjannyhäkkä;;;
1_577;featurecode;9918;Pohjanryhäkäs;Pohjanryhäkäs;;;
1_577;featurecode;9919;Puikkoloisikka;Puikkoloisikka;;;
1_577;featurecode;9920;Puistomörsky;Puistomörsky;;;
1_577;featurecode;9921;Punakarakääpä;Punakarakääpä; ;Steccherinum collabens;
1_577;featurecode;9922;Punareunamaljakas;Punareunamaljakas;;;
1_577;featurecode;9923;Puromörsky;Puromörsky;;;
1_577;featurecode;9924;Pähkinänkääpä;Pähkinänkääpä; ;Dichomitus campestris ;
1_577;featurecode;9925;Pähkinäorvakka;Pähkinäorvakka;;;
1_577;featurecode;9926;Pähkinävuotikka;Pähkinävuotikka;;;
1_577;featurecode;9927;Päärynärisakas;Päärynärisakas;;;
1_577;featurecode;9928;Pölkkysieni;Pölkkysieni; ;Gomphus clavatus ;
1_577;featurecode;9929;Pörhöukonsieni;Pörhöukonsieni;;;
1_577;featurecode;9930;Riekonkääpä;Riekonkääpä; ;Antrodia albobrunnea;
1_577;featurecode;9931;Rikkiorakas;Rikkiorakas;;;
1_577;featurecode;9932;Rosorusokas;Rosorusokas;;;
1_577;featurecode;9933;Runkohytyvinokas;Runkohytyvinokas;;;
1_577;featurecode;9934;Ruokohelvennoki;Ruokohelvennoki;;;
1_577;featurecode;9935;Rusohapero;Rusohapero;;;
1_577;featurecode;9936;Rusokääpä;Rusokääpä;;;
1_577;featurecode;9937;Rusomaljakas;Rusomaljakas;;;
1_577;featurecode;9938;Rusovanukka;Rusovanukka; ;Amylocorticium subincarnatum;
1_577;featurecode;9939;Rustikka;Rustikka; ;Protomerulius caryae ;
1_577;featurecode;9940;Ryytiseitikki;Ryytiseitikki;;;
1_577;featurecode;9941;Sahramihaarakas;Sahramihaarakas;;;
1_577;featurecode;9942;Salomaljakas;Salomaljakas;;;
1_577;featurecode;9943;Sammalpiennarsieni;Sammalpiennarsieni;;;
1_577;featurecode;9944;Savuvahakas;Savuvahakas;;;
1_577;featurecode;9945;Siilirisakas;Siilirisakas;;;
1_577;featurecode;9946;Silokääpä;Silokääpä;;;
1_577;featurecode;9947;Sinipunarousku;Sinipunarousku;;;
1_577;featurecode;9948;Sinipunarusokas;Sinipunarusokas;;;
1_577;featurecode;9949;Sitkorypykkä;Sitkorypykkä; ;Phlebia firma;
1_577;featurecode;9950;Suohytynupikka;Suohytynupikka;;;
1_577;featurecode;9951;Sysiseitikki;Sysiseitikki;;;
1_577;featurecode;9952;Säievalmuska;Säievalmuska;;;
1_577;featurecode;9953;Tahmamalikka;Tahmamalikka;;;
1_577;featurecode;9954;Taigakarakka;Taigakarakka;;;
1_577;featurecode;9955;Taigaorvakka;Taigaorvakka; ;Peniophora septentrionalis;
1_577;featurecode;9956;Tammenkääpä;Tammenkääpä; ;Phellinus robustus ;
1_577;featurecode;9957;Tarhatryffeli;Tarhatryffeli;;;
1_577;featurecode;9958;Terhopikari;Terhopikari;;;
1_577;featurecode;9959;Tippahaprakääpä;Tippahaprakääpä;;;
1_577;featurecode;9960;Tulivalmuska;Tulivalmuska;;;
1_577;featurecode;9961;Tummajyväslakki;Tummajyväslakki;;;
1_577;featurecode;9962;Tummavuotikka;Tummavuotikka;;;
1_577;featurecode;9963;Tuoksuvalevahvero;Tuoksuvalevahvero;;;
1_577;featurecode;9964;Tuoksuvinokas;Tuoksuvinokas;;;
1_577;featurecode;9965;Tuppikärpässieni;Tuppikärpässieni;;;
1_577;featurecode;9966;Tähti-itiörisakas;Tähti-itiörisakas;;;
1_577;featurecode;9967;Vahaorvakka;Vahaorvakka;;;
1_577;featurecode;9968;Valjuvalmuska;Valjuvalmuska;;;
1_577;featurecode;9969;Valkokaarnahiippo;Valkokaarnahiippo;;;
1_577;featurecode;9970;Valkolakirisakas;Valkolakirisakas;;;
1_577;featurecode;9971;Valkomyyränmukula;Valkomyyränmukula;;;
1_577;featurecode;9972;Valkoryhäkäs;Valkoryhäkäs;;;
1_577;featurecode;9973;Viherkarhikka;Viherkarhikka;;;
1_577;featurecode;9974;Välkkyludekääpä;Välkkyludekääpä; ;Skeletocutis stellae;
1_577;featurecode;9975;Yövilkanruoste;Yövilkanruoste;;;
1_577;featurecode;10001;Tekstipiste;Textpunkt;text point;;
1_577;featurecode;10002;Varastopaikka;Lagerplats;forest depot;;
1_577;featurecode;10003;Siirtymäura (maastoreitti);Förflyttningsled;Passageway (terrain route);;
1_577;featurecode;10004;Rautatie;Järnväg;railway;;
1_577;featurecode;10005;Sähkö-/voimalinja;El-/kraftledning;power line;;
1_577;featurecode;10006;Puhelinlinja;Telefonledning;telephone line;;
1_577;featurecode;10007;Kärrytie;Kärrväg;bridleway;;
1_577;featurecode;10008;Talvitie;Vinterväg;winter road;;
1_577;featurecode;10009;Maakaapeli;Jordkabel;underground cable;;
1_577;featurecode;10010;Kaava-alue;Planeområde;zoning area;;
1_577;featurecode;10011;Putkistolinja;Linjegata för rörledning;tubing line;;
1_577;featurecode;10012;Moottorikelkkareitti;Snöskoterled;snowscooter route;;
1_577;featurecode;10013;Elinympäristö;Livsmiljö;habitat;;
1_577;featurecode;10014;Polku;Stig;path;;
1_577;featurecode;10015;Apukohde;Hjälpobjekt;Aid target;;
1_577;featurecode;10016;Maastomerkintä;Terrängmarkning;Terrain marking;;
1_577;featurecode;10017;Lähestymissuunta;Ankomstrikning;Approach direction;;
1_577;featurecode;10018;Uusi tie;Ny väg;New road;;
1_577;featurecode;10019;Ajoura;Körstråk;Wood supply route;;
1_577;featurecode;10020;Piennartie;Väg på dikersen;bank road;;
1_577;featurecode;10021;Uudisoja;Nytt dike;New ditch;;
1_577;featurecode;10022;Kunnostusoja;Inståndsättningsdike;Overhauled ditch;;
1_577;featurecode;10023;Suojakaista;Skyddzon;shelter strip;;
1_577;featurecode;10024;Ajokielto;Körförbud;driving disqualification;;
1_577;featurecode;10025;Rajapyykki;Råsten;boundary mark;;
1_577;featurecode;10026;Laskeutusallas;Sedimenteringsbassäng;settling basin;;
1_577;featurecode;10027;Lietekuoppa;Slamgrop;settling pit;;
1_577;featurecode;10028;Liittymä;Anslutning;junction;;
1_577;featurecode;10029;Kääntöpaikka;Vändplats;turning bay;;
1_577;featurecode;10030;Puomi;Bom;gate;;
1_577;featurecode;10031;Tie;Väg;road;;
1_577;featurecode;10032;Oja;Dike;ditch;;
1_577;featurecode;10033;Varastopaikan reunamerkki;Avgräningsmärke för lagringsplats;Forest depot border sign;;
1_577;featurecode;10034;Muu vaara tai turvallisuuskohde;Annan fara eller säkerhetsobjekt;Other danger or safety target;;
1_577;featurecode;10035;Käyttökielto;Användningsförbud;denied usage;;
1_577;featurecode;10036;Silta;Bro;bridge;;
1_577;featurecode;10037;Painorajoitettu silta;Bro med viktbegränsning;weight limited bridge;;
1_577;featurecode;10038;Alikulku;Undergång;underpass;;
1_577;featurecode;10039;Kohtaamispaikka/Ohituspaikka;Mötesplats/Omkörningsplats;Passing place;;
1_577;featurecode;10040;Telauspaikka;Växlingsplats för släp;scrolling place;;
1_577;featurecode;10041;Rumpu;Trumma;culvert;;
1_577;featurecode;10042;Pato;Damm;dam;;
1_577;featurecode;10043;Haarukkaoja;Gaffeldike;fork ditch;;
1_577;featurecode;10044;Pintavalunta;Översilning;surface runoff;;
1_577;featurecode;10045;Pohjapato;Bottendamm;drowned weir;;
1_577;featurecode;10046;Purkupiste;Utlopp;Unloading point;;
1_577;featurecode;10047;Syöpymä;Erosion;corrosion;;
1_577;featurecode;10048;Maa-aineksen ottopaikka;Marktäktsplats;gravel pit;;
1_577;featurecode;10049;Metsäliittymä;Skogsvägsanslutning;Forest junction;;
1_577;featurecode;10050;Räjäytys;Sprängning;A controlled explosion;;
1_577;featurecode;10051;Painorajoitus;Viktbegränsning;weight limitation;;
1_577;featurecode;10052;Ajoreitti, hakkuukone;Körrutt för skördare;Harvester passageway;;
1_577;featurecode;10053;Ajoreitti, metsätraktori;Körrutt för skotare;Forest tractor passageway;;
1_577;featurecode;10054;Valokuva metsäyhtiö;Foto skogsbolag;photograph forest product company;;
1_577;featurecode;10055;Valokuva metsänomistaja;Foto skogsägare;photograph forest owner;;
1_577;featurecode;10056;Ajoluiska, Ojan ylitys;Körramp, dikesövergång; ;;
1_577;featurecode;10057;Ylityspaikka;Övergångsställe; ;;
1_577;featurecode;10058;Huomautus;Anmärkning; ;;
1_577;featurecode;10059;Korkeuseste;Höjdhinder; ;;
1_577;featurecode;10060;Pintavalutus-kenttä;Översilningsområde; ;;
1_577;featurecode;10061;Toteutunut reitti;Verkställd rutt; ;;
1_577;featurecode;10062;Kaivukatko;Grävavbrott; ;;
1_577;featurecode;10063;Pelastautumispaikka;Räddningsplats; ;;
1_577;featurecode;10064;Liikkuminen kielletty;Tillträde förbjudet; ;;
1_577;featurecode;10065;Liikkuminen rajoitettu;Tillträde begränsat; ;;
1_577;featurecode;10066;Pehmeikkö;Svag mark; ;;
1_577;featurecode;10067;Jyrkänne;Stup; ;;
1_577;featurecode;10068;Säästöpuuryhmä;Naturvårdsträdsgrupp; ;;
1_577;featurecode;10069;Kaasulinja;Gaslinje; ;;
1_577;featurecode;10070;Toteuma-alue;Verkställandeområde; ;;
1_577;featurecode;10071;Toteuma-alue (Kemera);Verkställandeområde (Kemera); ;;
1_577;featurecode;10072;Metsäsuunnitelmakuvion raja;Skogsbruksplansfigurens gräns; ;;
1_577;featurecode;10073;Ojalinjahakkuu;Avverkning för dikeslinje; ;;
1_577;featurecode;10074;Ojalinjan puidenkaato moottorisahalla;Fällning av träd för dikeslinje med motorsåg; ;;
1_577;featurecode;10075;Ojalinjan raivaus;Röjning av dikeslinje; ;;
