Metsävarakuvioiden ja erityisen tärkeiden elinympäristökuvioiden koodisto- taulukko solusta A2 soluun G4464;;;;;;;
Koodisto;Kenttä;Koodi;Selite_FI;Selite_SE;Selite_ENG;Selite_LATINA;
664_667;operationtype;93;Uudistushakkuu metsätuhoalueella.;Förnyelseavverkning på skogsskadeområde;Regeneration cutting on forest;;
664_667;operationtype;94;Kasvatushakkuu metsätuhoalueella.;Beståndsvårdande avverkning på skokgsskadeområde;Thinning in forest damage area;;
664_667;operationtype;100;Luontainen uudistaminen;Naturlig förnyelse;Natural regeneration;;
664_667;operationtype;101;Männyn luontainen uudistaminen;Naturlig förnyelse av tall;Natural regeneration, pine;;
664_667;operationtype;102;Kuusen luontainen uudistaminen;Naturlig förnyelse av gran;Natural regeneration, spruce;;
664_667;operationtype;103;Rauduskoivun luontainen uudistaminen;Naturlig förnyelse av vårtbjörk;Natural regeneration, silver birch;;
664_667;operationtype;104;Hieskoivun luontainen uudistaminen;Naturlig förnyelse av glasbjörk;Natural regeneration, downy birch;;
664_667;operationtype;105;Haavan luontainen uudistaminen;Naturlig förnyelse av asp;Natural regeneration, asp;;
664_667;operationtype;106;Harmaalepän luontainen uudistaminen;Naturlig förnyelse av gråal;Natural regeneration, grey alder;;
664_667;operationtype;107;Tervalepän luontainen uudistaminen;Naturlig förnyelse av klibbal;Natural regeneration, black alder;;
664_667;operationtype;108;Muun havupuun luontainen uudistaminen;Naturlig förnyelse av övriga barrträd;Natural regeneration, other coniferous tree;;
664_667;operationtype;109;Muun lehtipuun luontainen uudistaminen;Naturlig förnyelse av övriga lövträd;Natural regeneration, other deciduous tree;;
664_667;operationtype;110;Douglaskuusen luontainen uudistaminen;Naturlig förnyelse av douglasgran;Natural regeneration, oregon pine;;
664_667;operationtype;111;Katajan luontainen uudistaminen;Naturlig förnyelse av en;Natural regeneration, common juniper;;
664_667;operationtype;112;Kontortamännyn luontainen uudistaminen;Naturlig förnyelse av contortatall;Natural regeneration, contorta pine;;
664_667;operationtype;113;Kynäjalavan luontainen uudistaminen;Naturlig förnyelse av vresalm;Natural regeneration, european white elm;;
664_667;operationtype;114;Lehtikuusen luontainen uudistaminen;Naturlig förnyelse av lärkträd;Natural regeneration, larch;;
664_667;operationtype;115;Metsälehmuksen luontainen uudistaminen;Naturlig förnyelse av skogslind;Natural regeneration, small-leaved lime;;
664_667;operationtype;116;Mustakuusen luontainen uudistaminen;Naturlig förnyelse av svartgran;Natural regeneration, black spruce;;
664_667;operationtype;117;Pajun luontainen uudistaminen;Naturlig förnyelse av vide;Natural regeneration, willow;;
664_667;operationtype;118;Pihlajan luontainen uudistaminen;Naturlig förnyelse av rönn;Natural regeneration, rowan;;
664_667;operationtype;119;Pihdan luontainen uudistaminen;Naturlig förnyelse av pichtagran;Natural regeneration, fir;;
664_667;operationtype;120;Raida luontainen uudistaminen;Naturlig förnyelse av sälg;Natural regeneration, goat willow;;
664_667;operationtype;121;Saarnen luontainen uudistaminen;Naturlig förnyelse av ask;Natural regeneration, ash;;
664_667;operationtype;122;Sembramännyn luontainen uudistaminen;Naturlig förnyelse av cembratall;Natural regeneration, swiss pine;;
664_667;operationtype;123;Serbiankuusen luontainen uudistaminen;Naturlig förnyelse av omorikagran;Natural regeneration, serbian spruce;;
664_667;operationtype;124;Tammen luontainen uudistaminen;Naturlig förnyelse av ek;Natural regeneration, oak;;
664_667;operationtype;125;Tuomen luontainen uudistaminen;Naturlig förnyelse av hägg;Natural regeneration, bird cherry;;
664_667;operationtype;126;Vaahteran luontainen uudistaminen;Naturlig förnyelse av lönn;Natural regeneration, maple;;
664_667;operationtype;127;Visakoivun luontainen uudistaminen;Naturlig förnyelse av masurbjörk;Natural regeneration, curly birch;;
664_667;operationtype;128;Vuorijalavan luontainen uudistaminen;Naturlig förnyelse av skogsalm;Natural regeneration, scots elm;;
664_667;operationtype;200;Kylvö;Sådd;Planting of seeds;;
664_667;operationtype;201;Männyn kylvö;Sådd av tall;Planting of seeds, pine;;
664_667;operationtype;202;Kuusen kylvö;Sådd av gran;Planting of seeds, spruce;;
664_667;operationtype;203;Rauduskoivun kylvö;Sådd av vårtbjörk;Planting of seeds, silver birch;;
664_667;operationtype;204;Hieskoivun kylvö;Sådd av glasbjörk;Planting of seeds, downy birch;;
664_667;operationtype;205;Haavan kylvö;Sådd av asp;Planting of seeds, asp;;
